Automatic,Gain,Control=Checked,IR,PA,(mA)=10,Red,PA,(mA)=10,IR,LED,Range,(mA)=51,Red,LED,Range,(mA)=51,ALC,+,FDM=Checked,Sample,Rate,(Hz)=100,Pulse,Width,(usec)=400,ADC,Range,(nA)=32768,FIFO,Rolls,on,Full=Checked,FIFO,Almost,Full=17,Sample,Averaging=1,IA,Gain=5,ECG,Gain=8,Sample,Rate=200,Adaptive,Filter=Checked,Notch,Freq=50/60,Cutoff,Freq=40
2/12/2020,54:25.4,83,542,33.87506461,0,0,-4101,-1.255623675,-5142,-1.57435185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,84,548,34.25006533,21,1.312502503,-4375,-1.339515625,-4726,-1.44698305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,85,514,32.12506127,0,0,-4629,-1.417284075,-4619,-1.414222325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,86,554,34.62506604,18,1.125002146,-3911,-1.197450425,-4748,-1.4537189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,87,484,30.2500577,0,0,-4380,-1.3410465,-5027,-1.539141725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,88,546,34.12506509,0,0,-4665,-1.428306375,-5381,-1.647527675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,89,548,34.25006533,22,1.375002623,-4396,-1.3459453,-5560,-1.702333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,90,517,32.31256163,0,0,-4000,-1.2247,-5378,-1.64660915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,91,555,34.68756616,20,1.250002384,-4530,-1.38697275,-5003,-1.531793525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,92,482,30.12505746,0,0,-4621,-1.414834675,-4585,-1.403812375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,93,545,34.06256497,0,0,-4079,-1.248887825,-4194,-1.28409795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,94,548,34.25006533,22,1.375002623,-4495,-1.376256625,-4061,-1.243376675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,95,517,32.31256163,0,0,-4639,-1.420345825,-4201,-1.286241175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,96,555,34.68756616,19,1.187502265,-3469,-1.062121075,-4364,-1.3361477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,97,483,30.18755758,0,0,-3655,-1.119069625,-4470,-1.36860225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,98,547,34.18756521,0,0,-3893,-1.191939275,-4598,-1.40779265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,99,547,34.18756521,22,1.375002623,-3411,-1.044362925,-4682,-1.43351135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,100,518,32.37506175,0,0,-3244,-0.9932317,-4573,-1.400138275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,101,554,34.62506604,19,1.187502265,-3739,-1.144788325,-4384,-1.3422712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,102,483,30.18755758,0,0,-4263,-1.305224025,-4212,-1.2896091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,103,546,34.12506509,0,0,-3871,-1.185203425,-4055,-1.241539625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,104,545,34.06256497,21,1.312502503,-4283,-1.311347525,-4080,-1.249194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,105,517,32.31256163,0,0,-4556,-1.3949333,-4308,-1.3190019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.4,106,552,34.5000658,20,1.250002384,-3891,-1.191326925,-4521,-1.384217175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,107,480,30.00005722,0,0,-4572,-1.3998321,-4614,-1.41269145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.5,108,547,34.18756521,0,0,-5279,-1.616297825,-4636,-1.4194273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
